name	fluor	anti	replicate	aliases
MITF				MITF
MK2_pT334				pMK2(T334)
MMP9				MMP9
MUC1				MUC1
NDG1_pT346				pNDG1(T346)
NFkB_p65				NFkB(p65), RELA, p65
NGFR				NGFR, p75NTR, NGFR/CD271, CD271
NUP98				NUP98
N_Cadherin				N_Cadherin
NaKATPase				anti_NaKATPase, NaKATPase
P16				p16
P21				p21
P27				p27
P27_pT187				p27_pT187
P38_pT180_Y182				P38_pT180_Y182
P53				p53
PAN-CK				pan_CK, panCK, panCytokeratin, pan Cytokeratin
PAN-CK	540			Keratin_540
PAN-CK	eF570			PanCK_eF570, Pan_CK_eF570, Keratin_570
PARP				PARP
PAX8				PAX8
PCNA				PCNA
PCNA_488				PCNA_488
PD1				PD_1, PD-1, PD1
PD1	647			PD1_647
PDGFRa				PDGFRa
PDK1_pS240				PDK1_pS240
PDL1				PD_L1, PD-L1, PDL1
PDL1	647			PDL1_647
PDPN				PDPN
POL2A				POL2A
PR				PR
PTEN				PTEN
Perforin				Perforin
PgR				PgR
RAD51				RAD51
RAS_KHN				RAS(K,H,N)
RB				Rb
RB_pS807_S811				pRB(S807/811), Rb_(pS807;pS811), Rb(pS807;pS811)
RORgt				RORgt
RPA32				RPA32
RPA32_pS4_S8				pRPA32(S4/S8)
RPS6				RPS6
RPS6_pS235_S236				RPS6_pS235/S236
RRM1				RRM1
RRM2				RRM2
S100A4				S100A4
S100_alpha				S100alpha
S6				S6
S6_pS235_S236				pS6(S235/S236), pS6(235/236)
S6_pS240_S244				pS6(240/244)
SMAD3				SMAD3
SQSTM1				SQSTM1/p62, p62, SQSTM1
SRC_pY418				pSRC(Y418)
STAT3				STAT3
STAT3_pY705				pSTAT3(Y705)
STING				STING
Survivin				Survivin
TIM3				TIM3
TPCN2				TPCN2
TUBB3				TUBB3
T_bet				T_bet, T-bet
Tryptase				Tryptase
Tsc2_pT1462				Tsc2_pT1462
VEGFR1				VEGFR1/FLT1, VEGFR1, FLT1
VEGFR2				VEGFR2
Vimentin				Vimentin, Vim
Vimentin	555			Vimentin_555
Vinculin				Vinculin
WEE1_pS642				WEE1_pS642
YAP1				YAP1
aSMA				alpha_SMA, alpha_SMA, aSMA
aSMA	660			aSMA_660
beta_Tubulin				beta_Tubulin
cCasp3				cCasp3
cJUN				cJUN
cJun_pS73				C_Jun_pS73
cMYC				cMYC
